plantID,datetimeRecorded,leafTemp,ambientTemp,soilMoisture,redStrength,greenStrength,blueStrength,lightnessStrength,greenMagentaStrength,blueYellowStrength,hueStrength,saturationStrength,valueStrength
6,2021-07-24 21:28:40,22.35,22.87,965.0,58.53777,74.72887,41.008614,74.74153,114.96122,145.74368,48.395725,124.33669,76.838234
3,2021-07-24 23:41:03,23.23,23.71,990.0,40.59574,53.792683,29.840374,52.59218,117.36068,141.13704,49.16958,116.27614,54.41434
3,2021-07-21 15:16:08,23.69,24.65,1016.0,77.8276,101.2019,49.822403,101.532295,110.006805,153.99962,45.171627,144.82657,103.71043
5,2021-07-21 16:54:56,26.102,26.45,1011.0,71.630455,70.74302,34.253185,72.826126,122.96823,148.22667,27.52751,153.54431,76.67893
2,2021-07-21 18:17:17,24.51,27.39,1015.0,77.22943,81.970184,37.478848,82.11525,119.6285,150.80316,29.524168,164.35983,86.38895
6,2021-07-21 19:10:01,23.47,24.39,942.0,67.6492,103.27797,61.54677,100.6022,107.87686,147.4126,48.1588,133.90082,106.19095
5,2021-07-21 20:55:42,23.03,24.11,940.0,80.075325,115.75351,63.110497,113.80329,105.71009,152.82799,47.429024,129.01215,117.75849
1,2021-07-21 20:58:28,23.09,24.09,868.0,73.224014,105.38417,56.46542,104.27788,106.84013,151.67233,50.22283,126.279976,105.889725
3,2021-07-21 21:17:43,23.87,24.67,1012.0,45.18544,68.37637,40.364113,66.85086,113.11013,141.99939,54.42969,131.55928,68.5301
4,2021-07-21 21:19:15,23.57,24.19,1011.0,62.552094,90.1275,45.631676,89.324776,109.09926,150.17377,49.61578,140.26147,90.35326
6,2021-07-22 03:12:19,22.53,23.09,885.0,47.720615,61.405582,30.43369,60.88845,116.0999,145.02225,43.739075,129.7634,61.43425
3,2021-07-22 03:18:48,23.39,23.87,1006.0,38.52626,52.162666,27.187176,50.4173,117.010475,141.60677,47.530514,120.68203,52.238483
5,2021-07-22 03:44:47,22.47,23.27,904.0,52.570827,68.15746,32.74875,67.961006,114.700584,147.18565,43.6317,133.34491,68.160706
5,2021-07-22 05:45:03,22.35,23.17,919.0,53.66173,72.043,37.613014,71.74654,113.77115,146.08954,47.010555,124.09907,72.04379
2,2021-07-22 06:19:18,22.87,23.71,1015.0,74.000336,105.08358,59.44758,104.22443,107.886475,150.02928,50.99977,121.60685,105.097
4,2021-07-22 06:15:39,23.05,23.55,1015.0,55.166714,83.2387,52.914444,82.59503,111.19649,142.43903,59.273872,121.85812,83.403366
4,2021-07-22 08:37:02,22.65,23.45,1015.0,79.12327,111.7548,59.614304,110.67987,106.78819,153.06529,47.222122,133.05309,113.62057
6,2021-07-22 09:14:25,22.53,23.17,918.0,76.5147,114.75252,63.846115,112.53417,104.40571,151.84001,52.83575,126.76738,114.82316
3,2021-07-22 09:19:53,22.99,23.75,980.0,69.89513,103.99177,57.451252,102.32205,106.68755,150.20361,52.001026,135.20908,104.40944
5,2021-07-22 09:45:40,22.526,23.35,915.0,89.80013,131.69997,67.58829,128.37114,101.50748,157.67633,50.022987,134.615,131.70041
4,2021-07-22 10:37:26,22.59,23.55,1015.0,82.75303,113.58269,56.989876,112.4436,106.882805,155.41322,44.051197,136.39096,115.499115
1,2021-07-22 11:00:45,21.83,23.13,1015.0,95.74907,133.30331,68.1733,130.91179,103.23693,158.54088,48.620117,133.95802,134.5433
3,2021-07-22 11:20:21,22.87,23.83,1012.0,72.32865,109.82895,58.71571,107.61928,104.896935,152.12926,51.907356,139.5724,110.58958
2,2021-07-22 12:21:51,22.23,23.59,1015.0,88.63131,123.90052,62.99209,121.1905,104.97867,156.59802,45.1788,137.62924,125.31968
1,2021-07-22 13:01:29,22.19,23.13,1015.0,95.92011,134.22113,71.38387,131.67746,103.6901,157.12883,49.02115,132.12404,136.38557
6,2021-07-22 13:14:56,22.23,23.61,818.0,83.15401,123.03966,64.42729,120.534645,103.39215,155.47127,52.036724,139.65222,125.61091
3,2021-07-22 13:21:44,22.83,23.69,1015.0,72.81983,101.90863,48.172665,100.29385,107.86825,154.21603,44.618305,151.67401,103.070694
5,2021-07-22 13:46:31,22.25,22.99,867.0,86.1637,121.555626,59.672504,118.58124,105.44383,156.7148,44.25999,147.89749,124.57184
2,2021-07-22 14:23:25,22.31,23.57,1015.0,83.525406,118.41254,59.343773,115.46208,105.499985,155.64088,44.40002,141.91046,119.8601
4,2021-07-22 14:38:25,22.63,23.55,1015.0,81.653915,113.65364,56.88293,112.14105,106.78665,155.21155,44.603,141.73592,116.12548
1,2021-07-22 15:02:18,22.25,23.21,1015.0,92.31772,132.22919,70.83765,129.39146,103.346054,156.26982,49.709602,132.44086,134.32605
3,2021-07-22 15:23:11,22.87,23.85,1007.0,74.39315,103.2595,48.759407,101.79592,107.85003,154.62384,45.37276,152.89409,104.876015
5,2021-07-22 15:47:00,22.41,23.09,889.0,87.59938,122.29013,59.47049,119.23155,105.61332,157.16481,43.5393,148.50337,125.25078
2,2021-07-22 16:25:21,22.83,24.83,1015.0,99.39404,101.5146,53.078545,103.61867,120.293,153.60413,27.220991,142.30475,108.581856
4,2021-07-22 16:38:54,23.17,26.31,1015.0,94.80156,125.20397,61.549335,123.01219,106.21992,158.47989,42.131454,137.09956,126.15877
3,2021-07-22 17:23:53,23.99,25.67,1007.0,97.00247,127.14001,62.78184,125.85054,105.88998,159.1075,44.331882,137.40102,127.27709
4,2021-07-22 18:39:37,23.65,25.27,1015.0,37.56846,56.315807,25.159868,53.217255,114.57214,143.3394,46.58214,170.8896,57.092278
6,2021-07-22 19:16:26,23.21,24.79,851.0,65.465775,95.6718,54.10476,93.99154,109.72158,148.05336,47.721878,142.56517,99.49419
2,2021-07-22 20:26:36,23.15,24.19,1015.0,75.14124,112.80451,65.684074,111.00392,105.73083,150.03514,51.681007,123.82427,114.13504
4,2021-07-22 20:39:57,23.57,24.27,1008.0,69.067276,97.885284,58.394333,97.649315,110.43313,147.21028,48.481636,130.48734,101.81887
3,2021-07-22 21:25:13,23.63,24.41,1002.0,39.749477,54.717655,30.012333,53.26173,116.56691,141.2506,49.58938,123.874344,54.840935
5,2021-07-22 21:48:29,22.57,23.31,920.0,53.091232,70.47582,37.510788,70.35231,114.29819,145.53004,46.31085,120.54228,70.47639
2,2021-07-22 22:26:56,22.89,23.81,1015.0,77.282425,92.19231,50.684196,93.75435,114.51162,149.7257,42.137077,112.75521,92.19246
4,2021-07-22 22:40:13,23.03,23.65,1015.0,45.172333,59.90355,29.827019,59.00414,115.70116,144.45982,45.570618,128.9204,59.90602
1,2021-07-22 23:04:03,22.69,23.53,1005.0,76.77276,97.365204,56.583878,98.31625,112.1983,148.60356,45.90762,106.05284,97.365204
6,2021-07-22 23:17:03,22.47,23.55,876.0,53.880753,65.92554,34.204723,65.86299,116.71336,145.45045,43.397835,126.21858,67.31664
2,2021-07-23 00:27:15,22.83,23.75,1015.0,78.4096,91.9347,50.837605,93.82338,115.163445,149.67928,41.15533,112.066696,91.9347
4,2021-07-23 00:40:29,22.95,23.55,1012.0,44.139164,59.519993,28.397938,58.37458,115.26535,144.96642,45.630363,134.05824,59.521828
1,2021-07-23 01:05:27,22.65,23.43,1008.0,75.51841,94.331215,54.79548,95.548294,113.09178,148.1865,45.066826,105.911995,94.331215
5,2021-07-23 01:49:00,22.35,22.89,909.0,51.97323,68.64561,34.91683,68.415695,114.43352,146.1376,45.252777,126.53912,68.64653
2,2021-07-23 02:27:33,22.83,23.802,1015.0,74.84289,90.13186,49.379528,91.48187,114.442604,149.30663,42.690464,112.95535,90.13186
4,2021-07-23 02:40:46,23.15,23.63,1008.0,43.776775,59.618412,29.107832,58.402267,115.15092,144.54741,46.540623,130.71454,59.619873
1,2021-07-23 03:05:45,22.71,23.45,1014.0,74.734146,95.91688,55.14275,96.7316,111.94155,148.58064,46.338566,107.47144,95.91688
6,2021-07-23 03:17:35,22.302,23.41,865.0,52.902225,66.4208,33.37797,66.07511,115.892365,145.99478,44.278263,129.59334,67.72385
3,2021-07-23 03:26:24,23.23,23.99,983.0,39.141174,53.633533,28.742052,51.927677,116.68514,141.41882,48.743256,117.28152,53.70167
4,2021-07-23 04:41:02,23.03,23.57,1015.0,43.73544,59.73937,30.461134,58.519375,115.28879,143.7842,47.634117,124.842735,59.740578
6,2021-07-23 05:17:51,22.25,23.43,832.0,55.65419,68.91091,35.28743,68.796135,116.01249,146.16571,44.621643,126.90417,70.700836
4,2021-07-23 06:41:22,22.77,23.394,1013.0,61.76371,89.70156,47.368626,88.96001,109.30258,148.91606,51.422897,135.304,89.90341
2,2021-07-23 08:28:41,22.57,23.53,1015.0,82.46329,115.05581,63.385384,113.84601,106.81793,152.75421,48.232506,125.09645,116.64198
4,2021-07-23 08:41:42,22.57,23.43,1015.0,74.64051,110.580345,62.16272,109.074165,105.86827,150.8873,52.024033,130.02048,111.37979
1,2021-07-23 09:06:42,22.11,22.95,1014.0,92.76595,131.89166,70.63509,129.63284,103.03962,156.6183,50.722866,126.91512,133.02538
1,2021-07-22 09:00:15,21.966,23.19,1006.0,82.13999,119.54486,65.97574,117.8609,104.52195,153.15851,52.98891,124.24281,120.27616
6,2021-07-22 17:16:08,24.95,26.61,775.0,86.05861,80.64468,42.979847,84.00774,125.16204,149.13745,23.215862,145.9493,90.24773
3,2021-07-22 23:25:36,23.29,24.01,1014.0,40.74764,54.31811,29.493921,52.952003,117.088554,141.51889,47.491367,116.53262,54.394524
3,2021-07-23 01:26:00,23.17,23.95,1004.0,39.628937,54.2531,29.283113,52.61157,116.61106,141.44571,48.936665,116.3471,54.316574
6,2021-07-23 07:18:09,22.23,23.43,814.0,67.07189,95.81613,62.740402,95.51354,111.03241,143.57292,59.038876,119.56961,98.13826
3,2021-07-23 07:27:09,23.134,23.89,1007.0,60.24069,88.63186,51.82973,87.65636,110.1676,145.83522,53.916153,132.24385,88.94837
5,2021-07-23 09:50:13,21.89,22.59,889.0,89.24672,123.59331,63.22772,121.11342,105.293976,156.46574,44.001167,132.87003,125.35778
2,2021-07-23 10:29:24,22.53,23.75,1015.0,88.12697,125.39422,65.38747,122.870415,104.169975,156.18591,47.068176,133.32376,126.56823
4,2021-07-23 10:42:12,22.75,23.65,1011.0,81.24554,113.1957,57.383,111.79719,106.73102,154.80478,44.958138,137.86644,115.26749
1,2021-07-23 11:07:10,22.13,23.03,1015.0,96.26949,132.86285,71.00784,130.7524,104.30895,156.9286,48.48033,130.21323,134.90198
6,2021-07-23 11:18:42,22.83,23.95,861.0,83.49343,116.2104,58.593216,114.868546,106.2149,155.77097,48.56757,142.17776,119.76948
3,2021-07-23 11:28:51,23.21,24.19,1015.0,72.298065,106.16158,50.68189,103.82171,106.00967,154.40596,48.24386,155.5908,107.05769
2,2021-07-23 12:30:46,23.05,24.45,1015.0,80.96777,115.95085,59.223312,113.12049,105.939835,154.52798,45.42734,142.87146,117.85036
